Epoch: [12][70/97], lr: 0.01000	Time 0.139 (0.140)	Data 0.000 (0.010)	Loss 3.0614 (2.9454)	Prec@1 82.812 (81.173)	Prec@5 99.219 (98.129)
Epoch: [12][80/97], lr: 0.01000	Time 0.140 (0.140)	Data 0.000 (0.010)	Loss 3.0845 (2.9686)	Prec@1 76.562 (80.951)	Prec@5 97.656 (98.196)
Epoch: [12][90/97], lr: 0.01000	Time 0.139 (0.140)	Data 0.000 (0.010)	Loss 3.5074 (2.9694)	Prec@1 78.125 (80.967)	Prec@5 99.219 (98.266)
Epoch: [13][0/97], lr: 0.01000	Time 0.151 (0.151)	Data 0.096 (0.096)	Loss 3.3356 (3.3356)	Prec@1 78.906 (78.906)	Prec@5 98.438 (98.438)
Epoch: [13][10/97], lr: 0.01000	Time 0.140 (0.141)	Data 0.000 (0.017)	Loss 2.8771 (3.0916)	Prec@1 80.469 (80.682)	Prec@5 100.000 (98.082)
Epoch: [13][20/97], lr: 0.01000	Time 0.140 (0.140)	Data 0.000 (0.013)	Loss 2.9310 (2.9794)	Prec@1 80.469 (81.510)	Prec@5 98.438 (98.289)
Epoch: [13][30/97], lr: 0.01000	Time 0.139 (0.140)	Data 0.000 (0.012)	Loss 2.2608 (2.9518)	Prec@1 82.812 (81.326)	Prec@5 98.438 (98.311)
Epoch: [13][40/97], lr: 0.01000	Time 0.140 (0.140)	Data 0.000 (0.011)	Loss 3.1639 (2.9906)	Prec@1 77.344 (81.193)	Prec@5 96.875 (98.342)
Epoch: [13][50/97], lr: 0.01000	Time 0.142 (0.140)	Data 0.000 (0.010)	Loss 3.7718 (3.0251)	Prec@1 76.562 (80.928)	Prec@5 98.438 (98.208)
Epoch: [13][60/97], lr: 0.01000	Time 0.139 (0.140)	Data 0.000 (0.010)	Loss 3.8733 (3.0042)	Prec@1 75.000 (80.981)	Prec@5 99.219 (98.245)
Epoch: [13][70/97], lr: 0.01000	Time 0.140 (0.140)	Data 0.000 (0.010)	Loss 2.8594 (2.9508)	Prec@1 82.812 (81.382)	Prec@5 96.094 (98.195)
Epoch: [13][80/97], lr: 0.01000	Time 0.139 (0.140)	Data 0.000 (0.010)	Loss 3.7590 (2.9363)	Prec@1 80.469 (81.655)	Prec@5 96.094 (98.216)
Epoch: [13][90/97], lr: 0.01000	Time 0.140 (0.140)	Data 0.000 (0.010)	Loss 2.5884 (2.9320)	Prec@1 85.156 (81.688)	Prec@5 98.438 (98.240)
Epoch: [14][0/97], lr: 0.01000	Time 0.149 (0.149)	Data 0.093 (0.093)	Loss 2.6864 (2.6864)	Prec@1 84.375 (84.375)	Prec@5 98.438 (98.438)
Epoch: [14][10/97], lr: 0.01000	Time 0.143 (0.141)	Data 0.000 (0.016)	Loss 2.5821 (2.8347)	Prec@1 85.938 (81.889)	Prec@5 99.219 (98.722)
Epoch: [14][20/97], lr: 0.01000	Time 0.140 (0.140)	Data 0.000 (0.013)	Loss 2.2745 (2.6672)	Prec@1 84.375 (83.296)	Prec@5 100.000 (98.661)
Epoch: [14][30/97], lr: 0.01000	Time 0.140 (0.140)	Data 0.000 (0.011)	Loss 2.9426 (2.8257)	Prec@1 80.469 (82.258)	Prec@5 98.438 (98.412)
Epoch: [14][40/97], lr: 0.01000	Time 0.140 (0.140)	Data 0.000 (0.011)	Loss 2.5796 (2.8147)	Prec@1 84.375 (82.241)	Prec@5 99.219 (98.571)
Epoch: [14][50/97], lr: 0.01000	Time 0.140 (0.140)	Data 0.000 (0.010)	Loss 3.0724 (2.8410)	Prec@1 77.344 (82.261)	Prec@5 98.438 (98.545)
Epoch: [14][60/97], lr: 0.01000	Time 0.143 (0.140)	Data 0.000 (0.010)	Loss 2.9948 (2.8261)	Prec@1 81.250 (82.454)	Prec@5 94.531 (98.476)
